QUANTITY,SALES,DATE,PRODUCT,CATEGORY,PRICE,QUALITY,SALES_PERSON,SHOP,CITY,REGION
1,7.45,1/1/2016,Trout Performance,Lake,7.45,NORMAL,Henry Jacobs,Anglers United,Los Angeles,West
1,5.65,1/1/2016,Minnow Glitter,River,5.65,TOP,Nora Pollack,Happy Fisherman,Chicago,North
2,13.98,1/1/2016,Pike Magic,Lake,6.99,TOP,Tyler Lance,Fast Lures,New York,North
2,14.90,1/1/2016,Charles Lake Secret,Lake,7.45,NORMAL,Richard Smith,Lucky Lures,Seattle,West
3,22.35,1/1/2016,Charles Lake Secret,Lake,7.45,NORMAL,Henrik Griffin,Anglers United,Los Angeles,West
3,22.35,1/1/2016,Charles Lake Secret,Lake,7.45,NORMAL,Henry Jacobs,Anglers United,Los Angeles,West
3,18.45,1/1/2016,Steelhead Iron,River,6.15,TOP,Roberta Gonzalez,Ministry of Lures,New York,North
3,35.37,1/1/2016,Blinky Dorado,Ocean,11.79,TOP,Nora Pollack,Happy Fisherman,Chicago,North
4,41.96,1/1/2016,Redtail Trout,Ocean,10.49,NORMAL,Patrick Simpson,Lucky Lures,Seattle,West
4,27.96,1/1/2016,Pike Magic,Lake,6.99,TOP,Tiffany Smith,Fast Lures,New York,North
5,30.75,1/1/2016,Steelhead Iron,River,6.15,TOP,Daniel Tailor,Willy's Lure Barn,Austin,South
5,37.25,1/1/2016,Charles Lake Secret,Lake,7.45,NORMAL,Brian Thompson,Anglers United,Los Angeles,West
5,23.25,1/1/2016,Fast Glider,River,4.65,NORMAL,Arnold Hendricks,Lucky Lures,Seattle,West
5,26.25,1/1/2016,Bass Illumination,River,5.25,NORMAL,Jasmin Muller,Ministry of Lures,New York,North
6,62.94,1/1/2016,Redtail Trout,Ocean,10.49,NORMAL,Henry Jacobs,Anglers United,Los Angeles,West
6,33.90,1/1/2016,Minnow Glitter,River,5.65,TOP,Tyler Lance,Fast Lures,New York,North
7,36.75,1/1/2016,Bass Illumination,River,5.25,NORMAL,Brian Thompson,Anglers United,Los Angeles,West
7,48.93,1/1/2016,Pike Magic,Lake,6.99,TOP,Tyler Lance,Fast Lures,New York,North
7,48.93,1/1/2016,Pike Magic,Lake,6.99,TOP,Henrik Griffin,Anglers United,Los Angeles,West
9,101.61,1/1/2016,Marlin Goldbar,Ocean,11.29,TOP,Paul Bricks,Fishing King,Miami,South
10,52.50,1/1/2016,Bass Illumination,River,5.25,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
10,52.50,1/1/2016,Bass Illumination,River,5.25,NORMAL,Roberta Gonzalez,Ministry of Lures,New York,North
10,88.90,1/1/2016,Zander Domination,Lake,8.89,TOP,Brian Thompson,Anglers United,Los Angeles,West
10,46.50,1/1/2016,Fast Glider,River,4.65,NORMAL,Brian Thompson,Anglers United,Los Angeles,West
10,74.50,1/1/2016,Charles Lake Secret,Lake,7.45,NORMAL,Arnold Hendricks,Lucky Lures,Seattle,West
10,88.90,1/1/2016,Zander Domination,Lake,8.89,TOP,Abraham Jacobs,Lucky Lures,Seattle,West
11,62.15,1/1/2016,Minnow Glitter,River,5.65,TOP,Richard Rosenberg,Silk Watersports,San Francisco,West
11,57.75,1/1/2016,Bass Illumination,River,5.25,NORMAL,Nora Pollack,Happy Fisherman,Chicago,North
11,62.15,1/1/2016,Minnow Glitter,River,5.65,TOP,Nicolas Butters,Ministry of Lures,New York,North
11,76.89,1/1/2016,Pike Magic,Lake,6.99,TOP,William Lock,Willy's Lure Barn,Austin,South
12,135.48,1/1/2016,Marlin Goldbar,Ocean,11.29,TOP,Henry Jacobs,Anglers United,Los Angeles,West
12,83.88,1/1/2016,Pike Magic,Lake,6.99,TOP,Paul Bricks,Fishing King,Miami,South
12,141.48,1/1/2016,Blinky Dorado,Ocean,11.79,TOP,Timothy Hugs,Silk Watersports,San Francisco,West
12,67.80,1/1/2016,Minnow Glitter,River,5.65,TOP,Henrik Griffin,Anglers United,Los Angeles,West
12,67.80,1/1/2016,Minnow Glitter,River,5.65,TOP,Abraham Jacobs,Lucky Lures,Seattle,West
12,106.68,1/1/2016,Zander Domination,Lake,8.89,TOP,Jasmin Muller,Ministry of Lures,New York,North
